IDENT_PSN,FAMNO_PSN,IUNO_PSN,PERSON_NUMBER,PERS_WT
01966443,1,03,01,01530615
01976999,1,01,01,04684642
01988764,1,01,01,05440240
01988764,1,01,02,04927356
01993428,1,01,01,01174347
01993428,1,01,02,01059649
01993428,1,02,01,01530615
02001475,1,01,01,04437675
02001475,1,01,02,04294392
02009644,1,01,01,05634843
02009644,1,01,02,04612857
02010220,1,01,01,02350086
02018489,1,01,01,04343740
02018489,1,01,02,04246231
02019702,1,01,01,02208214
02019702,1,01,02,03260000
02019702,1,01,03,03066666
02023667,1,01,01,02127564
02023667,1,01,02,02296625
02030478,1,01,01,04143684
02030478,1,01,02,03890454
02045745,1,01,01,04649500
02045745,1,01,02,05307851
02045745,1,01,03,05332608
02045745,1,01,04,05175813
02045745,1,01,05,04390000
02045778,1,01,01,02943109
02045778,1,01,02,03474859
02046958,1,01,01,01195208
02046958,1,01,02,01482765
02046958,1,01,03,01366363
02058469,1,01,01,01876226
02058469,1,01,02,02077073
02058592,1,01,01,02268292
02058592,1,01,02,02345882
02058592,1,02,01,02426666
02059523,1,01,01,04647927
02059523,1,01,02,04246231
02091821,1,01,01,04946889
02091821,1,01,02,04909100
02092279,1,01,01,02129090
02092279,1,01,02,02350086
02092877,1,01,01,04558723
02092877,1,01,02,03236712
02098800,1,01,01,03160666
02099776,1,01,01,03310170
02109957,1,01,01,05597368
02109957,1,01,02,03890454
02110153,1,01,01,04513730
02110153,1,01,02,04262429
02129424,1,01,01,01991494
02129424,1,01,02,02121176
02134579,1,01,01,02943109
02134579,1,01,02,03319047
02142544,1,01,01,01439069
02142544,1,01,02,01057142
02142544,1,01,03,02086000
02142544,1,02,01,01245000
02142544,1,03,01,01662307
02145157,1,01,01,01876226
02145157,2,01,01,02077073
02145157,2,02,01,03091111
02147903,1,01,01,02660294
02147903,1,01,02,02796746
02148896,1,01,01,03403750
02148896,1,01,02,03052142
02148973,1,01,01,02113981
02151145,1,01,01,04946889
02151145,1,01,02,04294392
02169110,1,01,01,03480666
02169110,1,01,02,04832500
02172707,1,01,01,02268292
02172707,1,01,02,02345882
02172707,1,02,01,02634000
02174672,1,01,01,04513730
02174672,1,01,02,04262429
02182371,1,01,01,04694918
02182371,1,01,02,03052142
02182371,1,01,03,02836842
02187420,1,01,01,03848529
02187420,1,01,02,03215857
02205704,1,01,01,02118974
02205704,2,01,01,02274054
02209292,1,01,01,02084159
02209292,1,01,02,02414838
02211952,1,01,01,02112900
02211952,1,01,02,02185851
02215609,1,01,01,03004126
02215609,1,01,02,02836551
02220133,1,01,01,01991494
02220133,1,01,02,01984271
02221522,1,01,01,05597368
02221522,1,01,02,03860638
02229133,1,01,01,02107536
02232951,1,01,01,03199398
02232951,1,01,02,03728220
02241926,1,01,01,03690370
02245175,1,01,01,04581257
02245175,1,01,02,04382875
02255241,1,01,01,03310170
02255241,1,01,02,02881641
02260734,1,01,01,04909666
02260734,1,01,02,04289393
02260734,1,01,03,04164615
02260734,1,02,01,04936500
02260734,1,03,01,07444615
02284567,1,01,01,05053507
02294876,1,01,01,01463720
02294876,1,01,02,01057142
02294876,1,01,03,01880000
02294876,2,01,01,01116600
02319679,1,01,01,03587187
02319679,1,01,02,02650250
02321303,1,01,01,02592957
02321303,1,01,02,01885294
02341160,1,01,01,02300000
02341160,1,01,02,02135517
02345360,1,01,01,04437675
02353917,1,01,01,03373500
02353917,1,01,02,02380000
02357825,1,01,01,01327027
02361487,1,01,01,02421333
02361487,2,01,01,02366862
02361487,3,01,01,03596956
02361487,4,01,01,02101500
02383871,1,01,01,04649500
02383871,1,01,02,04998013
02383871,1,02,01,04782142
02392388,1,01,01,04216944
02392388,1,01,02,04571681
02393285,1,01,01,04775270
02393285,1,01,02,04821811
02416269,1,01,01,01984271
02417232,1,01,01,02300000
02417232,1,01,02,01850000
02417232,1,02,01,02350540
02427274,1,01,01,03172959
02427274,1,01,02,04380294
02439577,1,01,01,04649500
02439577,1,01,02,04998013
02439577,1,01,03,05175813
02455399,1,01,01,03783200
02455399,2,01,01,03783200
02455399,3,01,01,03619615
02464103,1,01,01,02062209
02464103,1,01,02,02121176
02465236,1,01,01,04014166
02465236,1,01,02,05776049
02465236,1,02,01,05845185
02467167,1,01,01,04343740
02467167,1,01,02,04246231
02467791,1,01,01,02593750
02467791,1,01,02,02207361
02475561,1,01,01,04393174
02475561,1,02,01,04832500
02499729,1,01,01,04647927
02499729,2,01,01,04647927
02512310,1,01,01,04507740
02512310,1,01,02,04821811
02514553,1,01,01,02917916
02514553,1,01,02,02683773
02514553,1,01,03,03027000
02521112,1,01,01,05440240
02521112,1,01,02,04927356
02521112,1,02,01,05117115
02522158,1,01,01,01319523
02522158,1,01,02,01143846
02523633,1,01,01,05614111
02523633,1,01,02,05776049
02543285,1,01,01,04014166
02543285,1,01,02,05776049
02543285,2,01,01,04382875
02545022,1,01,01,02374785
02546883,1,01,01,02392750
02546883,1,01,02,02556250
02554084,1,01,01,02268292
02555677,1,01,01,03403750
02555677,1,01,02,03052142
02558527,1,01,01,02369708
02564447,1,01,01,04513730
02567314,1,01,01,03848529
02567314,1,01,02,03319047
02569736,1,01,01,02084159
02569736,1,01,02,02414838
02569736,1,02,01,02208490
02571632,1,01,01,04427405
02571632,1,01,02,04871396
02575199,1,01,01,03455328
02575199,1,01,02,03170882
02575351,1,01,01,02306774
02583788,1,01,01,02374785
02583788,1,01,02,02475253
02595918,1,01,01,02421333
02595918,1,01,02,02135517
02600839,1,01,01,04471855
02600839,1,01,02,03637083
02608845,1,01,01,04927356
02608845,1,02,01,05117115
02608845,1,03,01,06182391
02608845,1,04,01,04237794
02608845,1,05,01,04507740
02608845,1,06,01,04946889
02608845,1,07,01,05162716
02608845,1,08,01,04177741
02608845,2,01,01,04570158
02610744,1,01,01,02366862
02610744,1,01,02,02475253
02612933,1,01,01,04513730
02612933,1,01,02,05618636
02614220,1,01,01,06234216
02614220,1,01,02,05374044
02618737,1,01,01,05614111
02618737,1,01,02,05422376
02618737,1,01,03,06588518
02618737,1,02,01,05023437
02618737,1,03,01,05845185
02636168,1,01,01,04216944
02636168,1,01,02,04661086
02637079,1,01,01,01124000
02637079,1,01,02,01531315
02637079,1,02,01,01433333
02644589,1,01,01,02660294
02644589,1,01,02,02796746
02649203,1,01,01,04262429
02650122,1,01,01,02084159
02650122,1,01,02,02316730
02650122,1,02,01,02616250
02655884,1,01,01,04647927
02655884,1,01,02,04280127
02659866,1,01,01,03199398
02659866,1,01,02,02796746
02665237,1,01,01,04647927
02665237,1,01,02,04246231
02668171,1,01,01,04750113
02668171,1,01,02,04998013
02668171,1,02,01,04444642
02683641,1,01,01,03255428
02694422,1,01,01,02366862
02694422,1,01,02,02135517
02694422,1,02,01,02584516
02694932,1,01,01,04134809
02694932,1,01,02,04816687
02705144,1,01,01,03282000
02705144,1,01,02,04380294
02716461,1,01,01,03848529
02716461,1,01,02,03215857
02716461,1,02,01,04276666
02716461,1,03,01,02961351
02721044,1,01,01,01991494
02721044,1,01,02,02121176
02721044,1,01,03,02837419
02724976,1,01,01,05377500
02725405,1,01,01,02366862
02725405,1,01,02,02213648
02725405,1,01,03,01580384
02733504,1,01,01,04821811
02733504,2,01,01,04775270
02740309,1,01,01,05562748
02740309,1,01,02,04382875
02740567,1,01,01,01530615
02740567,1,01,02,01600769
02746951,1,01,01,05512420
02746951,1,01,02,04871396
02746951,1,02,01,04775270
02748378,1,01,01,02062209
02748378,1,01,02,02121176
02748378,1,01,03,01783913
02756709,1,01,01,05981956
02760636,1,01,01,04513730
02760636,1,01,02,04067258
02762128,1,01,01,02019603
02762128,1,01,02,02358363
02762128,1,02,01,02366862
02787451,1,01,01,04393174
02787451,1,01,02,05307851
02794878,1,01,01,04647927
02794878,1,01,02,04246231
02796660,1,01,01,02340350
02796660,1,01,02,02475253
02797515,1,01,01,04244698
02797515,1,02,01,04998013
02813027,1,01,01,02269473
02813027,1,01,02,01945555
02813027,1,02,01,01984271
02814468,1,01,01,04571681
02821349,1,01,01,02370576
02821349,1,01,02,01981213
02821349,1,01,03,02110975
