,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Real unit of labour costs: Index - Percentage changes ;,Real unit of labour costs - Non-farm: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Real unit of labour costs: Index ;,Real unit of labour costs - Non-farm: Index ;,Terms of trade: Index ;,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Gross domestic product: Index - Percentage changes ;,Domestic final demand: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Gross domestic product: Index ;,Domestic final demand: Index ;,Terms of trade: Index ;,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Gross domestic product: Index - Percentage changes ;,Domestic final demand: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Gross domestic product: Index ;,Domestic final demand: Index ;,Terms of trade: Index ;
Mar-2007,1.4,1.0,1.4,1.4,1.7,1.7,1.8,1.3,2.4,0.6,0.4,0.9,1.0,-0.5,-0.7,1.8,320734,15292,226464,276908,304082,290422,246135,11735,273855,13057,262122,18725,5.0,93.7,95.4,97.5,95.5,104.5,103.2,77.0,1.7,1.2,1.3,1.7,2.0,2.2,2.3,1.9,2.6,0.4,0.4,1.3,0.9,1.0,0.6,1.8,321511,15329,227062,277712,305019,291735,247450,11798,274415,13083,262666,18839,4.9,93.6,95.3,97.8,95.8,85.0,89.5,77.0,-6.1,-6.6,-7.1,-7.5,-5.8,-6.0,-7.4,-7.9,-5.7,2.0,2.3,-7.9,-9.2,1.0,0.6,1.5,309495,14748,217488,265364,293519,280608,236062,11248,263955,12578,252033,13289,2.1,93.6,95.6,94.2,91.4,85.0,89.5,77.0
Jun-2007,1.0,0.6,1.0,0.9,1.2,1.2,1.1,0.7,2.0,0.6,0.6,0.4,0.4,0.7,0.8,0.8,324048,15379,228760,279529,307596,293892,248949,11815,279214,13251,267361,18534,5.1,94.3,95.9,97.9,95.9,105.2,104.0,77.6,0.8,0.3,0.4,0.6,0.9,0.7,0.5,0.1,1.8,1.0,0.9,-0.3,-0.5,1.0,1.0,0.7,323944,15373,227896,279425,307760,293741,248741,11804,279365,13257,267809,18616,5.4,94.6,96.1,97.6,95.3,85.8,90.4,77.5,4.2,3.7,4.2,4.7,4.3,4.3,4.9,4.5,5.3,0.9,0.6,3.2,3.6,1.0,1.0,0.5,322349,15299,226678,277788,306100,292701,247583,11750,277891,13189,264504,16326,3.2,94.5,96.2,97.2,94.7,85.8,90.4,77.4
Sep-2007,0.8,0.3,0.8,0.6,0.7,0.8,0.7,0.2,1.8,0.8,0.9,0.0,-0.1,0.2,1.0,-0.2,326560,15426,230538,281316,309740,296228,250624,11839,284191,13425,272217,18110,4.8,95.1,96.8,97.9,95.8,105.5,105.1,77.5,0.8,0.3,1.5,0.6,0.6,0.8,0.8,0.3,1.6,0.4,0.7,0.4,0.8,0.6,0.8,-0.9,326481,15422,231246,281225,309589,296176,250645,11840,283872,13409,271744,18352,4.6,94.9,96.8,98.0,96.1,86.4,91.1,76.8,1.2,0.7,1.9,1.1,1.1,0.7,0.7,0.2,1.9,-0.4,-0.4,1.6,2.2,0.6,0.8,-0.5,326161,15409,230912,280894,309413,294671,249220,11774,283286,13383,270874,18876,7.5,94.1,95.8,98.8,96.9,86.4,91.1,77.0
Dec-2007,0.8,0.3,1.0,0.6,0.9,1.1,1.0,0.5,1.9,0.9,1.0,-0.2,0.0,0.0,-0.2,0.4,329025,15468,232812,283058,312625,299387,253111,11899,289704,13619,277744,18845,4.3,95.9,97.7,97.7,95.8,105.5,104.9,77.7,0.6,0.1,0.4,0.4,0.9,0.9,0.8,0.3,2.0,1.1,1.0,-0.5,-0.6,0.9,0.7,1.4,328450,15443,232111,282469,312279,298989,252662,11880,289647,13619,277363,18059,4.2,96.0,97.7,97.5,95.5,87.2,91.7,77.9,5.6,5.1,6.2,6.4,5.9,6.7,7.7,7.2,7.2,1.0,0.9,4.5,5.3,0.9,0.7,1.3,344464,16202,245333,298875,327543,314502,268456,12627,303610,14280,293877,27002,6.7,95.1,96.6,103.2,102.1,87.2,91.7,78.0
Mar-2008,0.9,0.3,1.1,0.7,1.8,2.0,2.1,1.5,2.6,1.0,1.0,-0.1,0.1,-1.5,-1.4,3.5,331825,15519,235435,285145,318157,305309,258358,12083,297224,13901,285533,22276,3.9,96.9,98.7,97.6,95.9,103.8,103.5,80.5,1.2,0.6,1.4,1.1,1.5,1.8,1.9,1.3,2.5,1.1,1.1,0.1,0.3,1.5,1.2,1.4,332372,15543,235393,285711,316886,304403,257457,12040,296782,13879,285524,21866,4.1,97.1,98.8,97.6,95.8,88.4,92.9,79.0,-7.4,-8.0,-8.2,-9.0,-7.2,-7.2,-8.8,-9.4,-6.1,2.1,2.4,-9.3,-10.3,1.5,1.2,1.3,318844,14903,225176,271851,304005,291934,244735,11439,285049,13323,273502,15077,1.7,97.1,98.9,93.6,91.5,88.4,92.9,79.0
Jun-2008,0.6,0.0,1.0,0.4,2.0,2.3,2.4,1.9,2.9,0.8,0.8,-0.2,0.2,-0.8,-1.1,8.9,333763,15525,237677,286350,324574,312221,264575,12307,305929,14230,294277,27099,4.1,97.7,99.4,97.4,96.1,103.0,102.3,87.6,0.3,-0.2,1.1,0.1,2.5,2.4,2.6,2.0,2.7,0.6,0.6,-0.3,0.4,3.4,1.1,10.2,333444,15511,237934,286027,324712,311695,264056,12283,304700,14174,292830,26395,4.0,97.6,99.4,97.3,96.2,91.4,93.9,87.1,3.9,3.4,4.5,4.4,6.1,6.2,7.2,6.7,6.4,0.1,0.0,3.8,4.4,3.4,1.1,9.9,331277,15411,235264,283811,322504,310156,262410,12207,303376,14113,288497,22444,0.4,97.1,98.9,97.2,95.6,91.4,93.9,86.8
Sep-2008,0.3,-0.3,0.3,0.1,1.3,1.6,1.6,1.1,2.4,0.3,0.2,-0.1,0.1,-1.0,-0.6,4.4,334662,15481,238483,286494,328773,317272,268907,12439,313393,14497,301664,31050,5.2,98.0,99.6,97.3,96.2,102.0,101.7,91.5,0.7,0.2,0.4,0.6,2.0,2.6,2.9,2.3,3.5,0.7,0.4,0.0,0.0,3.0,1.4,6.1,335842,15536,238921,287692,331143,319937,271590,12564,315486,14594,304189,33300,4.3,98.3,99.9,97.3,96.2,94.2,95.2,92.4,0.7,0.1,0.8,0.6,2.3,2.4,2.6,2.1,3.9,0.0,-0.6,0.7,1.4,3.0,1.4,7.4,333596,15433,237211,285398,329795,317655,269353,12461,315148,14580,304246,34546,7.2,97.1,98.4,97.9,96.9,94.2,95.2,93.2
Dec-2008,0.1,-0.4,-0.5,-0.1,-0.1,0.0,-0.3,-0.8,0.9,-0.2,-0.6,0.3,0.2,-1.0,-1.3,-0.8,334998,15413,237391,286079,328367,317259,268131,12337,316197,14548,304440,30893,6.9,97.8,99.0,97.6,96.4,101.0,100.3,90.8,-0.7,-1.3,-0.4,-1.1,-1.1,-1.1,-1.6,-2.2,0.3,-0.5,-0.6,-0.2,0.2,0.5,1.0,-1.7,333442,15340,237857,284492,327429,316339,267186,12292,316384,14555,303700,29672,11.4,97.8,99.3,97.2,96.3,94.6,96.1,90.8,5.1,4.5,6.5,5.8,4.3,4.9,5.6,5.0,4.5,0.0,0.3,5.1,6.2,0.5,1.0,-2.5,350539,16133,252735,301917,344014,333232,284331,13086,329430,15161,319705,38283,12.5,97.1,98.7,102.9,102.9,94.6,96.1,90.9
Mar-2009,0.2,-0.3,-0.5,0.0,-1.2,-1.3,-1.8,-2.3,-0.7,-0.7,-1.3,0.9,0.7,-0.3,-0.4,-5.0,335660,15365,236151,286021,324449,313246,263328,12054,314071,14377,302585,26694,8.5,97.1,97.8,98.5,97.1,100.6,99.9,86.2,0.9,0.4,-1.1,0.9,-0.6,-0.4,-0.8,-1.3,-0.3,-0.5,-1.3,1.5,0.3,-1.2,0.6,-6.9,336606,15408,235327,286983,325491,314948,265052,12133,315580,14446,304956,29283,10.1,97.3,97.9,98.6,96.6,93.5,96.8,84.5,-7.6,-8.1,-10.9,-9.2,-9.1,-9.3,-11.4,-11.9,-8.4,0.2,-0.7,-7.7,-10.2,-1.2,0.6,-7.9,324053,14826,225286,274189,312666,302083,251956,11528,301871,13811,291921,21809,8.3,97.3,98.0,94.9,92.4,93.5,96.8,83.7
Jun-2009,0.4,-0.1,0.1,0.3,-1.0,-1.3,-1.8,-2.3,-0.9,-0.6,-1.0,1.0,1.1,1.0,1.0,-8.7,337073,15356,236375,286749,321143,309290,258584,11780,311237,14179,299865,21492,9.1,96.5,96.8,99.5,98.2,101.6,100.9,78.7,0.0,-0.5,0.2,-0.2,-1.8,-2.7,-3.5,-3.9,-2.1,-0.9,-1.5,0.9,1.8,-2.2,0.1,-8.3,336624,15336,235817,286289,319722,306532,255839,11656,308899,14073,296857,18738,12.1,96.4,96.4,99.5,98.3,91.4,96.9,77.5,3.2,2.7,3.3,3.6,1.5,0.9,0.8,0.4,2.0,-1.3,-2.1,4.6,5.5,-2.2,0.1,-7.7,334326,15232,232691,283952,317311,304786,254026,11573,307844,14025,294143,16816,10.0,96.0,95.9,99.3,97.5,91.4,96.9,77.3
Sep-2009,0.6,0.2,0.8,0.5,-0.1,-0.4,-0.8,-1.2,0.3,-0.1,-0.1,0.7,1.0,0.9,2.0,-2.7,339176,15383,238382,288193,320869,308081,256628,11639,312081,14154,299902,18161,9.2,96.4,96.7,100.2,99.1,102.6,102.9,76.6,0.7,0.3,1.3,0.6,0.2,0.9,0.7,0.3,0.8,-0.2,0.1,0.9,1.2,0.6,0.4,-2.0,339022,15375,238965,288042,320459,309195,257694,11686,311493,14126,300282,18689,9.4,96.2,96.6,100.4,99.5,91.9,97.2,75.9,1.0,0.6,2.3,1.0,0.5,0.7,0.6,0.1,1.1,-1.3,-1.1,2.3,3.5,0.6,0.4,-1.7,337757,15319,238104,286752,319040,306903,255465,11586,311085,14109,300939,20608,12.1,94.8,94.8,101.6,100.9,91.9,97.2,75.9
Dec-2009,0.7,0.2,1.2,0.5,1.2,1.1,1.1,0.7,1.9,0.5,0.7,0.1,0.4,-0.3,-1.1,2.6,341390,15421,241181,289750,324871,311534,259397,11717,317957,14363,304789,18867,9.3,96.9,97.4,100.4,99.6,102.3,101.7,78.6,0.8,0.4,0.9,0.7,1.6,0.7,0.6,0.2,2.3,1.0,1.3,-0.2,-0.4,1.2,0.3,4.0,341794,15440,241028,290163,325476,311290,259172,11707,318589,14391,305219,18900,8.8,97.2,97.8,100.2,99.1,93.0,97.5,79.0,6.0,5.7,6.6,7.0,6.9,6.5,7.6,7.3,6.4,2.1,2.6,3.9,3.9,1.2,0.3,3.6,358156,16185,253926,306748,340958,326911,275002,12427,331087,14962,319431,25416,9.4,96.7,97.3,105.5,104.9,93.0,97.5,78.7
Mar-2010,0.7,0.3,1.0,0.6,2.3,2.4,2.6,2.3,2.9,0.9,0.9,-0.2,0.1,-1.9,-2.0,5.5,343787,15473,243636,291503,332183,319000,266244,11983,327181,14725,313817,23093,9.3,97.7,98.3,100.2,99.7,100.4,99.7,82.9,0.5,0.2,1.1,0.4,1.4,1.6,1.6,1.3,2.3,0.4,0.3,0.2,0.9,1.8,0.7,4.5,343656,15467,243760,291369,330096,316130,263376,11854,326064,14675,311131,20874,9.9,97.6,98.1,100.3,99.9,94.7,98.1,82.5,-7.9,-8.3,-8.2,-9.6,-6.9,-7.2,-8.9,-9.3,-5.5,1.7,1.7,-9.5,-9.7,1.8,0.7,5.8,329760,14834,233112,277282,317425,303483,250523,11270,312897,14076,297960,13522,8.2,98.4,99.0,95.5,94.7,94.7,98.1,83.2
Jun-2010,0.7,0.4,0.8,0.6,2.3,2.5,2.7,2.4,2.8,0.9,0.6,-0.2,0.2,-0.1,-0.2,10.5,346306,15534,245672,293393,339880,326851,273515,12269,336303,15086,323238,27576,9.4,98.6,98.9,100.1,99.9,100.3,99.5,91.7,0.7,0.4,0.8,0.6,3.8,4.7,5.4,5.0,3.6,1.3,1.3,-0.6,-0.4,3.2,0.5,13.8,346067,15523,245726,293139,342573,330862,277504,12447,337759,15150,326420,30769,8.8,98.9,99.3,99.7,99.5,97.7,98.6,93.9,4.6,4.3,4.8,5.3,7.5,8.8,10.5,10.1,7.8,0.5,0.4,4.1,4.4,3.2,0.5,12.4,344866,15468,244337,291931,341181,330180,276756,12413,337246,15126,323915,28924,7.0,98.9,99.4,99.4,98.8,97.7,98.6,93.6
Sep-2010,0.6,0.3,0.5,0.5,1.7,1.7,1.8,1.5,2.1,0.8,0.5,-0.2,0.0,-0.1,0.7,3.7,348427,15580,246948,294891,345521,332475,278544,12455,343307,15351,330527,30350,9.9,99.4,99.4,99.9,99.9,100.2,100.3,95.1,0.7,0.4,0.5,0.6,0.7,0.3,0.2,-0.1,1.8,0.5,-0.1,0.2,0.6,1.1,0.8,1.1,348423,15580,246964,294895,345121,332008,278099,12435,343732,15370,330517,29599,9.8,99.3,99.2,99.9,100.1,98.8,99.4,94.9,0.8,0.5,0.9,0.8,1.1,0.2,0.1,-0.2,2.0,-0.1,-1.1,0.9,2.0,1.1,0.8,2.1,347650,15547,246436,294130,345026,330851,277002,12388,343886,15379,331023,31413,12.2,98.7,98.3,100.3,100.8,98.8,99.4,95.6
Dec-2010,0.4,0.1,0.3,0.3,1.0,0.9,0.9,0.5,1.5,0.5,0.5,-0.1,-0.1,0.1,-0.2,4.3,349917,15595,247740,295740,349078,335538,280981,12523,348334,15525,335102,30919,10.6,99.9,99.9,99.8,99.7,100.4,100.1,99.3,0.8,0.5,0.6,0.8,1.3,1.0,1.0,0.6,1.4,0.7,0.7,0.1,-0.1,-0.2,0.1,2.3,351339,15660,248399,297182,349608,335278,280752,12513,348412,15529,335103,31376,10.7,100.1,99.9,100.0,100.0,98.6,99.5,97.1,5.5,5.2,6.2,6.4,5.6,5.9,6.9,6.6,5.6,1.3,1.6,4.2,4.5,-0.2,0.1,1.4,366882,16359,261621,312905,364493,350524,296141,13205,363042,16188,351999,40459,11.9,100.0,99.8,104.5,105.3,98.6,99.5,96.9
Mar-2011,0.5,0.1,0.6,0.3,1.1,1.1,1.1,0.8,1.5,0.3,0.4,0.2,0.2,-0.7,-0.4,4.3,351592,15616,249175,296747,352903,339331,284115,12619,353418,15697,339880,32057,11.1,100.2,100.2,100.0,100.0,99.6,99.7,103.5,-0.4,-0.8,-0.3,-0.8,0.3,0.7,0.6,0.3,0.9,0.3,0.7,-0.7,-1.0,2.1,0.7,4.8,349768,15534,247738,294908,350823,337724,282467,12545,351681,15619,338242,30611,11.5,100.3,100.6,99.3,99.0,100.7,100.3,101.8,-8.5,-8.9,-9.8,-10.3,-7.7,-7.8,-9.6,-10.0,-7.2,1.1,1.8,-9.5,-11.4,2.1,0.7,5.2,335574,14897,235990,280560,336311,323024,267621,11880,337043,14962,322932,21531,9.4,101.1,101.6,94.6,93.3,100.7,100.3,102.0
Jun-2011,0.7,0.4,0.8,0.6,1.4,1.7,1.7,1.4,1.7,0.5,0.3,0.3,0.5,0.1,0.4,4.3,354155,15672,251250,298629,357869,344930,289057,12792,359437,15906,346544,35164,11.2,100.6,100.5,100.3,100.4,99.8,100.0,107.9,1.3,0.9,1.6,1.3,2.1,2.2,2.4,2.1,2.3,-0.1,-0.4,1.4,2.0,1.3,0.5,3.8,354358,15681,251719,298833,358335,345240,289373,12805,359917,15927,346427,34533,10.7,100.3,100.3,100.7,100.9,102.0,100.8,105.7,5.4,5.1,6.3,6.3,6.5,7.1,8.3,8.0,6.8,-0.9,-1.3,6.4,7.7,1.3,0.5,4.0,353783,15654,250773,298222,358058,345851,289926,12829,359918,15926,344295,32905,9.0,100.2,100.3,100.6,100.5,102.0,100.8,106.0
Sep-2011,1.0,0.6,0.9,1.0,1.0,1.3,1.3,0.9,1.4,0.5,0.1,0.5,0.8,0.6,0.6,-1.0,357708,15770,253458,301508,361537,349285,292767,12907,364426,16066,352467,37375,10.9,101.1,100.6,100.8,101.2,100.3,100.7,106.9,1.2,0.8,1.1,1.2,1.4,1.8,1.9,1.5,1.7,1.1,0.6,0.0,0.5,0.8,0.3,0.7,358553,15808,254418,302349,363486,351420,294906,13002,365876,16131,354488,39504,11.1,101.4,100.9,100.7,101.4,102.8,101.1,106.4,1.0,0.7,1.0,1.0,1.4,1.2,1.7,1.4,1.5,0.5,-0.4,0.5,1.4,0.8,0.3,1.1,357363,15758,253345,301152,362989,349911,294906,13004,365496,16116,355216,41389,13.5,100.7,99.9,101.1,102.0,102.8,101.1,107.2
Dec-2011,1.0,0.7,0.8,1.0,0.5,0.8,0.7,0.3,0.9,0.3,0.0,0.7,0.8,0.7,0.3,-3.0,361460,15874,255459,304589,363243,351949,294768,12945,367681,16147,356605,37105,10.6,101.4,100.6,101.5,102.0,101.0,101.0,103.7,0.6,0.2,0.0,0.5,-0.4,-0.2,-0.5,-0.9,0.3,0.4,0.1,0.2,-0.1,-1.1,0.3,-4.3,360659,15839,254404,303790,362114,350567,293397,12885,367106,16122,355927,37148,10.8,101.8,101.0,100.9,101.3,101.7,101.3,101.9,5.3,5.0,5.7,6.1,4.0,4.7,-0.5,-0.9,4.7,-0.1,-0.3,5.5,6.0,-1.1,0.3,-5.4,376456,16539,267742,319586,377608,366466,293397,12890,382539,16807,373599,46836,12.1,100.5,99.6,106.7,108.1,101.7,101.3,101.4
Mar-2012,0.9,0.5,0.7,0.8,0.0,0.4,0.2,-0.2,0.5,0.1,0.1,0.8,0.6,0.4,0.4,-5.2,364573,15946,257211,307021,363383,353286,295413,12921,369639,16168,358941,34470,10.5,101.5,100.7,102.3,102.7,101.4,101.5,98.3,1.2,0.8,1.2,1.2,0.2,0.5,0.4,0.0,0.4,-0.6,-0.7,1.9,1.9,-0.8,0.2,-4.8,365053,15968,257409,307505,362734,352436,294559,12884,368566,16122,357904,33423,9.9,101.2,100.3,102.8,103.2,100.9,101.6,97.0,-7.0,-7.5,-8.5,-8.5,-7.9,-8.0,0.4,-0.1,-7.7,0.5,0.7,-7.5,-9.1,-0.8,0.2,-4.5,349990,15302,245111,292445,347720,337063,294559,12878,353059,15436,342245,24368,7.9,101.0,100.2,98.7,98.3,100.9,101.6,96.9
Jun-2012,0.8,0.4,0.7,0.7,0.0,0.2,0.1,-0.4,0.5,-0.1,0.1,0.8,0.6,0.6,0.4,-3.5,367369,16003,259124,309115,363380,354148,295578,12876,371441,16180,360797,31982,10.3,101.5,100.8,103.1,103.3,102.0,101.9,94.9,0.6,0.2,0.8,0.5,0.5,1.0,1.0,0.6,1.2,0.6,0.9,0.1,0.0,0.3,0.7,-0.7,367414,16004,259524,309171,364515,356057,297479,12958,372875,16242,362340,32277,10.7,101.7,101.2,102.9,103.2,101.2,102.3,96.3,5.1,4.7,5.9,5.9,4.9,6.0,1.0,0.6,5.8,0.8,1.2,4.3,4.7,0.3,0.7,-0.9,367870,16023,259557,309633,364704,357211,297479,12957,373591,16272,360152,30432,8.7,101.9,101.4,102.9,102.9,101.2,102.3,96.0
Sep-2012,0.7,0.3,0.7,0.6,0.0,0.1,-0.1,-0.5,0.5,0.0,0.1,0.7,0.6,0.2,0.9,-3.2,369852,16046,260855,310910,363288,354561,295301,12811,373135,16188,362651,30607,10.3,101.5,100.9,103.8,103.9,102.2,102.8,91.9,0.7,0.2,0.4,0.5,-0.5,-0.7,-1.0,-1.4,-0.1,-0.2,0.0,0.8,0.4,-0.5,0.6,-5.3,369802,16044,260644,310867,362772,353660,294401,12773,372468,16160,361661,30083,10.3,101.6,101.2,103.7,103.6,100.7,102.9,91.2,0.3,-0.1,0.2,0.1,-0.7,-1.4,-1.0,-1.4,-0.4,-1.8,-2.1,2.2,2.4,-0.5,0.6,-4.4,368891,16007,260202,309962,362246,352198,294401,12774,372151,16148,361887,31398,12.8,100.0,99.3,105.1,105.4,100.7,102.9,91.8
Dec-2012,0.6,0.2,0.5,0.5,-0.1,-0.1,-0.3,-0.7,0.4,0.0,0.0,0.5,0.5,0.2,-0.4,-2.9,371914,16071,262263,312398,362834,354360,294427,12723,374533,16184,364242,29862,10.2,101.5,100.9,104.4,104.4,102.4,102.3,89.3,0.6,0.2,0.6,0.5,0.0,0.1,-0.1,-0.5,0.5,-0.1,-0.4,0.7,1.0,-0.5,0.3,-2.7,372005,16074,262255,312371,362683,354124,294183,12711,374403,16177,364364,30128,10.1,101.5,100.8,104.4,104.6,100.2,103.2,88.8,5.1,4.7,5.7,5.8,4.2,4.9,-0.1,-0.5,4.6,0.9,0.8,4.2,4.9,-0.5,0.3,-4.1,387643,16757,275004,328016,377462,369340,294183,12717,389203,16824,381989,39835,11.3,100.9,100.0,109.5,110.5,100.2,103.2,88.1
